Year,State,CoC Number,Measures,Count
1/1/12,NJ,NJ-500,Sheltered Chronically Homeless,101
1/1/12,NJ,NJ-500,Sheltered Chronically Homeless Individuals,101
1/1/12,NJ,NJ-500,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-500,Sheltered Homeless,562
1/1/12,NJ,NJ-500,Sheltered Homeless Individuals,392
1/1/12,NJ,NJ-500,Sheltered Homeless People in Families,170
1/1/12,NJ,NJ-500,Sheltered Homeless Veterans,44
1/1/12,NJ,NJ-500,Total Homeless,631
1/1/12,NJ,NJ-500,Unsheltered Chronically Homeless,16
1/1/12,NJ,NJ-500,Unsheltered Chronically Homeless Individuals,16
1/1/12,NJ,NJ-500,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-500,Unsheltered Homeless,69
1/1/12,NJ,NJ-500,Unsheltered Homeless Individuals,67
1/1/12,NJ,NJ-500,Unsheltered Homeless People in Families,2
1/1/12,NJ,NJ-500,Unsheltered Homeless Veterans,9
1/1/12,NJ,NJ-501,Chronically Homeless,54
1/1/12,NJ,NJ-501,Chronically Homeless Individuals,54
1/1/12,NJ,NJ-501,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-501,Homeless Individuals,284
1/1/12,NJ,NJ-501,Homeless People in Families,170
1/1/12,NJ,NJ-501,Homeless Veterans,18
1/1/12,NJ,NJ-501,Sheltered Chronically Homeless,45
1/1/12,NJ,NJ-501,Sheltered Chronically Homeless Individuals,45
1/1/12,NJ,NJ-501,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-501,Sheltered Homeless,422
1/1/12,NJ,NJ-501,Sheltered Homeless Individuals,258
1/1/12,NJ,NJ-501,Sheltered Homeless People in Families,164
1/1/12,NJ,NJ-501,Sheltered Homeless Veterans,17
1/1/12,NJ,NJ-501,Total Homeless,454
1/1/12,NJ,NJ-501,Unsheltered Chronically Homeless,9
1/1/12,NJ,NJ-501,Unsheltered Chronically Homeless Individuals,9
1/1/12,NJ,NJ-501,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-501,Unsheltered Homeless,32
1/1/12,NJ,NJ-501,Unsheltered Homeless Individuals,26
1/1/12,NJ,NJ-501,Unsheltered Homeless People in Families,6
1/1/12,NJ,NJ-501,Unsheltered Homeless Veterans,1
1/1/12,NJ,NJ-502,Chronically Homeless,75
1/1/12,NJ,NJ-502,Chronically Homeless Individuals,45
1/1/12,NJ,NJ-502,Chronically Homeless People in Families,30
1/1/12,NJ,NJ-502,Homeless Individuals,407
1/1/12,NJ,NJ-502,Homeless People in Families,416
1/1/12,NJ,NJ-502,Homeless Veterans,19
1/1/12,NJ,NJ-502,Sheltered Chronically Homeless,68
1/1/12,NJ,NJ-502,Sheltered Chronically Homeless Individuals,38
1/1/12,NJ,NJ-502,Sheltered Chronically Homeless People in Families,30
1/1/12,NJ,NJ-502,Sheltered Homeless,794
1/1/12,NJ,NJ-502,Sheltered Homeless Individuals,382
1/1/12,NJ,NJ-502,Sheltered Homeless People in Families,412
1/1/12,NJ,NJ-502,Sheltered Homeless Veterans,15
1/1/12,NJ,NJ-502,Total Homeless,823
1/1/12,NJ,NJ-502,Unsheltered Chronically Homeless,7
1/1/12,NJ,NJ-502,Unsheltered Chronically Homeless Individuals,7
1/1/12,NJ,NJ-502,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-502,Unsheltered Homeless,29
1/1/12,NJ,NJ-502,Unsheltered Homeless Individuals,25
1/1/12,NJ,NJ-502,Unsheltered Homeless People in Families,4
1/1/12,NJ,NJ-502,Unsheltered Homeless Veterans,4
1/1/12,NJ,NJ-503,Chronically Homeless,95
1/1/12,NJ,NJ-503,Chronically Homeless Individuals,76
1/1/12,NJ,NJ-503,Chronically Homeless People in Families,19
1/1/12,NJ,NJ-503,Homeless Individuals,672
1/1/12,NJ,NJ-503,Homeless People in Families,543
1/1/12,NJ,NJ-503,Homeless Veterans,97
1/1/12,NJ,NJ-503,Sheltered Chronically Homeless,65
1/1/12,NJ,NJ-503,Sheltered Chronically Homeless Individuals,54
1/1/12,NJ,NJ-503,Sheltered Chronically Homeless People in Families,11
1/1/12,NJ,NJ-503,Sheltered Homeless,"1,051"
1/1/12,NJ,NJ-503,Sheltered Homeless Individuals,556
1/1/12,NJ,NJ-503,Sheltered Homeless People in Families,495
1/1/12,NJ,NJ-503,Sheltered Homeless Veterans,82
1/1/12,NJ,NJ-503,Total Homeless,"1,215"
1/1/12,NJ,NJ-503,Unsheltered Chronically Homeless,30
1/1/12,NJ,NJ-503,Unsheltered Chronically Homeless Individuals,22
1/1/12,NJ,NJ-503,Unsheltered Chronically Homeless People in Families,8
1/1/12,NJ,NJ-503,Unsheltered Homeless,164
1/1/12,NJ,NJ-503,Unsheltered Homeless Individuals,116
1/1/12,NJ,NJ-503,Unsheltered Homeless People in Families,48
1/1/12,NJ,NJ-503,Unsheltered Homeless Veterans,15
1/1/12,NJ,NJ-504,Chronically Homeless,178
1/1/12,NJ,NJ-504,Chronically Homeless Individuals,137
1/1/12,NJ,NJ-504,Chronically Homeless People in Families,41
1/1/12,NJ,NJ-504,Homeless Individuals,941
1/1/12,NJ,NJ-504,Homeless People in Families,563
1/1/12,NJ,NJ-504,Homeless Veterans,80
1/1/12,NJ,NJ-504,Sheltered Chronically Homeless,132
1/1/12,NJ,NJ-504,Sheltered Chronically Homeless Individuals,105
1/1/12,NJ,NJ-504,Sheltered Chronically Homeless People in Families,27
1/1/12,NJ,NJ-504,Sheltered Homeless,"1,335"
1/1/12,NJ,NJ-504,Sheltered Homeless Individuals,796
1/1/12,NJ,NJ-504,Sheltered Homeless People in Families,539
1/1/12,NJ,NJ-504,Sheltered Homeless Veterans,59
1/1/12,NJ,NJ-504,Total Homeless,"1,504"
1/1/12,NJ,NJ-504,Unsheltered Chronically Homeless,46
1/1/12,NJ,NJ-504,Unsheltered Chronically Homeless Individuals,32
1/1/12,NJ,NJ-504,Unsheltered Chronically Homeless People in Families,14
1/1/12,NJ,NJ-504,Unsheltered Homeless,169
1/1/12,NJ,NJ-504,Unsheltered Homeless Individuals,145
1/1/12,NJ,NJ-504,Unsheltered Homeless People in Families,24
1/1/12,NJ,NJ-504,Unsheltered Homeless Veterans,21
1/1/12,NJ,NJ-506,Chronically Homeless,111
1/1/12,NJ,NJ-506,Chronically Homeless Individuals,111
1/1/12,NJ,NJ-506,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-506,Homeless Individuals,750
1/1/12,NJ,NJ-506,Homeless People in Families,"1,337"
1/1/12,NJ,NJ-506,Homeless Veterans,45
1/1/12,NJ,NJ-506,Sheltered Chronically Homeless,30
1/1/12,NJ,NJ-506,Sheltered Chronically Homeless Individuals,30
1/1/12,NJ,NJ-506,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-506,Sheltered Homeless,"1,793"
1/1/12,NJ,NJ-506,Sheltered Homeless Individuals,484
1/1/12,NJ,NJ-506,Sheltered Homeless People in Families,"1,309"
1/1/12,NJ,NJ-506,Sheltered Homeless Veterans,21
1/1/12,NJ,NJ-506,Total Homeless,"2,087"
1/1/12,NJ,NJ-506,Unsheltered Chronically Homeless,81
1/1/12,NJ,NJ-506,Unsheltered Chronically Homeless Individuals,81
1/1/12,NJ,NJ-506,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-506,Unsheltered Homeless,294
1/1/12,NJ,NJ-506,Unsheltered Homeless Individuals,266
1/1/12,NJ,NJ-506,Unsheltered Homeless People in Families,28
1/1/12,NJ,NJ-506,Unsheltered Homeless Veterans,24
1/1/12,NJ,NJ-507,Chronically Homeless,63
1/1/12,NJ,NJ-507,Chronically Homeless Individuals,60
1/1/12,NJ,NJ-507,Chronically Homeless People in Families,3
1/1/12,NJ,NJ-507,Homeless Individuals,525
1/1/12,NJ,NJ-507,Homeless People in Families,620
1/1/12,NJ,NJ-507,Homeless Veterans,35
1/1/12,NJ,NJ-507,Sheltered Chronically Homeless,33
1/1/12,NJ,NJ-507,Sheltered Chronically Homeless Individuals,30
1/1/12,NJ,NJ-507,Sheltered Chronically Homeless People in Families,3
1/1/12,NJ,NJ-507,Sheltered Homeless,833
1/1/12,NJ,NJ-507,Sheltered Homeless Individuals,337
1/1/12,NJ,NJ-507,Sheltered Homeless People in Families,496
1/1/12,NJ,NJ-507,Sheltered Homeless Veterans,16
1/1/12,NJ,NJ-507,Total Homeless,"1,145"
1/1/12,NJ,NJ-507,Unsheltered Chronically Homeless,30
1/1/12,NJ,NJ-507,Unsheltered Chronically Homeless Individuals,30
1/1/12,NJ,NJ-507,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-507,Unsheltered Homeless,312
1/1/12,NJ,NJ-507,Unsheltered Homeless Individuals,188
1/1/12,NJ,NJ-507,Unsheltered Homeless People in Families,124
1/1/12,NJ,NJ-507,Unsheltered Homeless Veterans,19
1/1/12,NJ,NJ-508,Chronically Homeless,73
1/1/12,NJ,NJ-508,Chronically Homeless Individuals,56
1/1/12,NJ,NJ-508,Chronically Homeless People in Families,17
1/1/12,NJ,NJ-508,Homeless Individuals,272
1/1/12,NJ,NJ-508,Homeless People in Families,378
1/1/12,NJ,NJ-508,Homeless Veterans,16
1/1/12,NJ,NJ-508,Sheltered Chronically Homeless,59
1/1/12,NJ,NJ-508,Sheltered Chronically Homeless Individuals,48
1/1/12,NJ,NJ-508,Sheltered Chronically Homeless People in Families,11
1/1/12,NJ,NJ-508,Sheltered Homeless,595
1/1/12,NJ,NJ-508,Sheltered Homeless Individuals,242
1/1/12,NJ,NJ-508,Sheltered Homeless People in Families,353
1/1/12,NJ,NJ-508,Sheltered Homeless Veterans,12
1/1/12,NJ,NJ-508,Total Homeless,650
1/1/12,NJ,NJ-508,Unsheltered Chronically Homeless,14
1/1/12,NJ,NJ-508,Unsheltered Chronically Homeless Individuals,8
1/1/12,NJ,NJ-508,Unsheltered Chronically Homeless People in Families,6
1/1/12,NJ,NJ-508,Unsheltered Homeless,55
1/1/12,NJ,NJ-508,Unsheltered Homeless Individuals,30
1/1/12,NJ,NJ-508,Unsheltered Homeless People in Families,25
1/1/12,NJ,NJ-508,Unsheltered Homeless Veterans,4
1/1/12,NJ,NJ-509,Chronically Homeless,37
1/1/12,NJ,NJ-509,Chronically Homeless Individuals,37
1/1/12,NJ,NJ-509,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-509,Homeless Individuals,179
1/1/12,NJ,NJ-509,Homeless People in Families,102
1/1/12,NJ,NJ-509,Homeless Veterans,14
1/1/12,NJ,NJ-509,Sheltered Chronically Homeless,22
1/1/12,NJ,NJ-509,Sheltered Chronically Homeless Individuals,22
1/1/12,NJ,NJ-509,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-509,Sheltered Homeless,209
1/1/12,NJ,NJ-509,Sheltered Homeless Individuals,110
1/1/12,NJ,NJ-509,Sheltered Homeless People in Families,99
1/1/12,NJ,NJ-509,Sheltered Homeless Veterans,11
1/1/12,NJ,NJ-509,Total Homeless,281
1/1/12,NJ,NJ-509,Unsheltered Chronically Homeless,15
1/1/12,NJ,NJ-509,Unsheltered Chronically Homeless Individuals,15
1/1/12,NJ,NJ-509,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-509,Unsheltered Homeless,72
1/1/12,NJ,NJ-509,Unsheltered Homeless Individuals,69
1/1/12,NJ,NJ-509,Unsheltered Homeless People in Families,3
1/1/12,NJ,NJ-509,Unsheltered Homeless Veterans,3
1/1/12,NJ,NJ-510,Chronically Homeless,38
1/1/12,NJ,NJ-510,Chronically Homeless Individuals,36
1/1/12,NJ,NJ-510,Chronically Homeless People in Families,2
1/1/12,NJ,NJ-510,Homeless Individuals,449
1/1/12,NJ,NJ-510,Homeless People in Families,200
1/1/12,NJ,NJ-510,Homeless Veterans,6
1/1/12,NJ,NJ-510,Sheltered Chronically Homeless,36
1/1/12,NJ,NJ-510,Sheltered Chronically Homeless Individuals,34
1/1/12,NJ,NJ-510,Sheltered Chronically Homeless People in Families,2
1/1/12,NJ,NJ-510,Sheltered Homeless,598
1/1/12,NJ,NJ-510,Sheltered Homeless Individuals,406
1/1/12,NJ,NJ-510,Sheltered Homeless People in Families,192
1/1/12,NJ,NJ-510,Sheltered Homeless Veterans,3
1/1/12,NJ,NJ-510,Total Homeless,649
1/1/12,NJ,NJ-510,Unsheltered Chronically Homeless,2
1/1/12,NJ,NJ-510,Unsheltered Chronically Homeless Individuals,2
1/1/12,NJ,NJ-510,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-510,Unsheltered Homeless,51
1/1/12,NJ,NJ-510,Unsheltered Homeless Individuals,43
1/1/12,NJ,NJ-510,Unsheltered Homeless People in Families,8
1/1/12,NJ,NJ-510,Unsheltered Homeless Veterans,3
1/1/12,NJ,NJ-511,Chronically Homeless,39
1/1/12,NJ,NJ-511,Chronically Homeless Individuals,26
1/1/12,NJ,NJ-511,Chronically Homeless People in Families,13
1/1/12,NJ,NJ-511,Homeless Individuals,256
1/1/12,NJ,NJ-511,Homeless People in Families,262
1/1/12,NJ,NJ-511,Homeless Veterans,18
1/1/12,NJ,NJ-511,Sheltered Chronically Homeless,28
1/1/12,NJ,NJ-511,Sheltered Chronically Homeless Individuals,19
1/1/12,NJ,NJ-511,Sheltered Chronically Homeless People in Families,9
1/1/12,NJ,NJ-511,Sheltered Homeless,418
1/1/12,NJ,NJ-511,Sheltered Homeless Individuals,192
1/1/12,NJ,NJ-511,Sheltered Homeless People in Families,226
1/1/12,NJ,NJ-511,Sheltered Homeless Veterans,12
1/1/12,NJ,NJ-511,Total Homeless,518
1/1/12,NJ,NJ-511,Unsheltered Chronically Homeless,11
1/1/12,NJ,NJ-511,Unsheltered Chronically Homeless Individuals,7
1/1/12,NJ,NJ-511,Unsheltered Chronically Homeless People in Families,4
1/1/12,NJ,NJ-511,Unsheltered Homeless,100
1/1/12,NJ,NJ-511,Unsheltered Homeless Individuals,64
1/1/12,NJ,NJ-511,Unsheltered Homeless People in Families,36
1/1/12,NJ,NJ-511,Unsheltered Homeless Veterans,6
1/1/12,NJ,NJ-512,Chronically Homeless,1
1/1/12,NJ,NJ-512,Chronically Homeless Individuals,1
1/1/12,NJ,NJ-512,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-512,Homeless Individuals,27
1/1/12,NJ,NJ-512,Homeless People in Families,51
1/1/12,NJ,NJ-512,Homeless Veterans,2
1/1/12,NJ,NJ-512,Sheltered Chronically Homeless,0
1/1/12,NJ,NJ-512,Sheltered Chronically Homeless Individuals,0
1/1/12,NJ,NJ-512,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-512,Sheltered Homeless,49
1/1/12,NJ,NJ-512,Sheltered Homeless Individuals,14
1/1/12,NJ,NJ-512,Sheltered Homeless People in Families,35
1/1/12,NJ,NJ-512,Sheltered Homeless Veterans,0
1/1/12,NJ,NJ-512,Total Homeless,78
1/1/12,NJ,NJ-512,Unsheltered Chronically Homeless,1
1/1/12,NJ,NJ-512,Unsheltered Chronically Homeless Individuals,1
1/1/12,NJ,NJ-512,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-512,Unsheltered Homeless,29
1/1/12,NJ,NJ-512,Unsheltered Homeless Individuals,13
1/1/12,NJ,NJ-512,Unsheltered Homeless People in Families,16
1/1/12,NJ,NJ-512,Unsheltered Homeless Veterans,2
1/1/12,NJ,NJ-513,Chronically Homeless,2
1/1/12,NJ,NJ-513,Chronically Homeless Individuals,2
1/1/12,NJ,NJ-513,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-513,Homeless Individuals,177
1/1/12,NJ,NJ-513,Homeless People in Families,118
1/1/12,NJ,NJ-513,Homeless Veterans,97
1/1/12,NJ,NJ-513,Sheltered Chronically Homeless,0
1/1/12,NJ,NJ-513,Sheltered Chronically Homeless Individuals,0
1/1/12,NJ,NJ-513,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-513,Sheltered Homeless,272
1/1/12,NJ,NJ-513,Sheltered Homeless Individuals,167
1/1/12,NJ,NJ-513,Sheltered Homeless People in Families,105
1/1/12,NJ,NJ-513,Sheltered Homeless Veterans,93
1/1/12,NJ,NJ-513,Total Homeless,295
1/1/12,NJ,NJ-513,Unsheltered Chronically Homeless,2
1/1/12,NJ,NJ-513,Unsheltered Chronically Homeless Individuals,2
1/1/12,NJ,NJ-513,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-513,Unsheltered Homeless,23
1/1/12,NJ,NJ-513,Unsheltered Homeless Individuals,10
1/1/12,NJ,NJ-513,Unsheltered Homeless People in Families,13
1/1/12,NJ,NJ-513,Unsheltered Homeless Veterans,4
1/1/12,NJ,NJ-514,Chronically Homeless,71
1/1/12,NJ,NJ-514,Chronically Homeless Individuals,62
1/1/12,NJ,NJ-514,Chronically Homeless People in Families,9
1/1/12,NJ,NJ-514,Homeless Individuals,551
1/1/12,NJ,NJ-514,Homeless People in Families,458
1/1/12,NJ,NJ-514,Homeless Veterans,71
1/1/12,NJ,NJ-514,Sheltered Chronically Homeless,48
1/1/12,NJ,NJ-514,Sheltered Chronically Homeless Individuals,42
1/1/12,NJ,NJ-514,Sheltered Chronically Homeless People in Families,6
1/1/12,NJ,NJ-514,Sheltered Homeless,903
1/1/12,NJ,NJ-514,Sheltered Homeless Individuals,476
1/1/12,NJ,NJ-514,Sheltered Homeless People in Families,427
1/1/12,NJ,NJ-514,Sheltered Homeless Veterans,61
1/1/12,NJ,NJ-514,Total Homeless,"1,009"
1/1/12,NJ,NJ-514,Unsheltered Chronically Homeless,23
1/1/12,NJ,NJ-514,Unsheltered Chronically Homeless Individuals,20
1/1/12,NJ,NJ-514,Unsheltered Chronically Homeless People in Families,3
1/1/12,NJ,NJ-514,Unsheltered Homeless,106
1/1/12,NJ,NJ-514,Unsheltered Homeless Individuals,75
1/1/12,NJ,NJ-514,Unsheltered Homeless People in Families,31
1/1/12,NJ,NJ-514,Unsheltered Homeless Veterans,10
1/1/12,NJ,NJ-515,Chronically Homeless,27
1/1/12,NJ,NJ-515,Chronically Homeless Individuals,27
1/1/12,NJ,NJ-515,Chronically Homeless People in Families,0
1/1/12,NJ,NJ-515,Homeless Individuals,512
1/1/12,NJ,NJ-515,Homeless People in Families,944
1/1/12,NJ,NJ-515,Homeless Veterans,16
1/1/12,NJ,NJ-515,Sheltered Chronically Homeless,20
1/1/12,NJ,NJ-515,Sheltered Chronically Homeless Individuals,20
1/1/12,NJ,NJ-515,Sheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-515,Sheltered Homeless,"1,406"
1/1/12,NJ,NJ-515,Sheltered Homeless Individuals,466
1/1/12,NJ,NJ-515,Sheltered Homeless People in Families,940
1/1/12,NJ,NJ-515,Sheltered Homeless Veterans,16
1/1/12,NJ,NJ-515,Total Homeless,"1,456"
1/1/12,NJ,NJ-515,Unsheltered Chronically Homeless,7
1/1/12,NJ,NJ-515,Unsheltered Chronically Homeless Individuals,7
1/1/12,NJ,NJ-515,Unsheltered Chronically Homeless People in Families,0
1/1/12,NJ,NJ-515,Unsheltered Homeless,50
1/1/12,NJ,NJ-515,Unsheltered Homeless Individuals,46
1/1/12,NJ,NJ-515,Unsheltered Homeless People in Families,4
1/1/12,NJ,NJ-515,Unsheltered Homeless Veterans,0
1/1/12,NJ,NJ-516,Chronically Homeless,45
1/1/12,NJ,NJ-516,Chronically Homeless Individuals,34
1/1/12,NJ,NJ-516,Chronically Homeless People in Families,11
1/1/12,NJ,NJ-516,Homeless Individuals,142
1/1/12,NJ,NJ-516,Homeless People in Families,88
1/1/12,NJ,NJ-516,Homeless Veterans,5
1/1/12,NJ,NJ-516,Sheltered Chronically Homeless,30
1/1/12,NJ,NJ-516,Sheltered Chronically Homeless Individuals,21
1/1/12,NJ,NJ-516,Sheltered Chronically Homeless People in Families,9
1/1/12,NJ,NJ-516,Sheltered Homeless,189
1/1/12,NJ,NJ-516,Sheltered Homeless Individuals,109
1/1/12,NJ,NJ-516,Sheltered Homeless People in Families,80
1/1/12,NJ,NJ-516,Sheltered Homeless Veterans,3
1/1/12,NJ,NJ-516,Total Homeless,230
1/1/12,NJ,NJ-516,Unsheltered Chronically Homeless,15
1/1/12,NJ,NJ-516,Unsheltered Chronically Homeless Individuals,13
1/1/12,NJ,NJ-516,Unsheltered Chronically Homeless People in Families,2
1/1/12,NJ,NJ-516,Unsheltered Homeless,41
1/1/12,NJ,NJ-516,Unsheltered Homeless Individuals,33
1/1/12,NJ,NJ-516,Unsheltered Homeless People in Families,8
1/1/12,NJ,NJ-516,Unsheltered Homeless Veterans,2
1/1/12,NM,NM-500,Chronically Homeless,428
1/1/12,NM,NM-500,Chronically Homeless Individuals,387
1/1/12,NM,NM-500,Chronically Homeless People in Families,41
1/1/12,NM,NM-500,Homeless Individuals,"1,004"
1/1/12,NM,NM-500,Homeless People in Families,427
1/1/12,NM,NM-500,Homeless Veterans,187
1/1/12,NM,NM-500,Sheltered Chronically Homeless,267
1/1/12,NM,NM-500,Sheltered Chronically Homeless Individuals,238
1/1/12,NM,NM-500,Sheltered Chronically Homeless People in Families,29
1/1/12,NM,NM-500,Sheltered Homeless,"1,044"
1/1/12,NM,NM-500,Sheltered Homeless Individuals,655
1/1/12,NM,NM-500,Sheltered Homeless People in Families,389
1/1/12,NM,NM-500,Sheltered Homeless Veterans,116
1/1/12,NM,NM-500,Total Homeless,"1,431"
1/1/12,NM,NM-500,Unsheltered Chronically Homeless,161
1/1/12,NM,NM-500,Unsheltered Chronically Homeless Individuals,149
1/1/12,NM,NM-500,Unsheltered Chronically Homeless People in Families,12
1/1/12,NM,NM-500,Unsheltered Homeless,387
1/1/12,NM,NM-500,Unsheltered Homeless Individuals,349
1/1/12,NM,NM-500,Unsheltered Homeless People in Families,38
1/1/12,NM,NM-500,Unsheltered Homeless Veterans,71
1/1/12,NM,NM-501,Chronically Homeless,644
1/1/12,NM,NM-501,Chronically Homeless Individuals,586
1/1/12,NM,NM-501,Chronically Homeless People in Families,58
1/1/12,NM,NM-501,Homeless Individuals,"1,132"
1/1/12,NM,NM-501,Homeless People in Families,682
1/1/12,NM,NM-501,Homeless Veterans,158
1/1/12,NM,NM-501,Sheltered Chronically Homeless,346
1/1/12,NM,NM-501,Sheltered Chronically Homeless Individuals,328
1/1/12,NM,NM-501,Sheltered Chronically Homeless People in Families,18
1/1/12,NM,NM-501,Sheltered Homeless,"1,353"
1/1/12,NM,NM-501,Sheltered Homeless Individuals,816
1/1/12,NM,NM-501,Sheltered Homeless People in Families,537
1/1/12,NM,NM-501,Sheltered Homeless Veterans,86
1/1/12,NM,NM-501,Total Homeless,"1,814"
1/1/12,NM,NM-501,Unsheltered Chronically Homeless,298
1/1/12,NM,NM-501,Unsheltered Chronically Homeless Individuals,258
1/1/12,NM,NM-501,Unsheltered Chronically Homeless People in Families,40
1/1/12,NM,NM-501,Unsheltered Homeless,461
1/1/12,NM,NM-501,Unsheltered Homeless Individuals,316
1/1/12,NM,NM-501,Unsheltered Homeless People in Families,145
1/1/12,NM,NM-501,Unsheltered Homeless Veterans,72
1/1/12,NV,NV-500,Chronically Homeless,"1,449"
1/1/12,NV,NV-500,Chronically Homeless Individuals,"1,434"
1/1/12,NV,NV-500,Chronically Homeless People in Families,15
1/1/12,NV,NV-500,Homeless Individuals,"6,581"
1/1/12,NV,NV-500,Homeless People in Families,742
1/1/12,NV,NV-500,Homeless Veterans,"1,113"
1/1/12,NV,NV-500,Sheltered Chronically Homeless,374
1/1/12,NV,NV-500,Sheltered Chronically Homeless Individuals,361
1/1/12,NV,NV-500,Sheltered Chronically Homeless People in Families,13
1/1/12,NV,NV-500,Sheltered Homeless,"3,082"
1/1/12,NV,NV-500,Sheltered Homeless Individuals,"2,358"
1/1/12,NV,NV-500,Sheltered Homeless People in Families,724
1/1/12,NV,NV-500,Sheltered Homeless Veterans,595
1/1/12,NV,NV-500,Total Homeless,"7,323"
1/1/12,NV,NV-500,Unsheltered Chronically Homeless,"1,075"
1/1/12,NV,NV-500,Unsheltered Chronically Homeless Individuals,"1,073"
1/1/12,NV,NV-500,Unsheltered Chronically Homeless People in Families,2
1/1/12,NV,NV-500,Unsheltered Homeless,"4,241"
1/1/12,NV,NV-500,Unsheltered Homeless Individuals,"4,223"
1/1/12,NV,NV-500,Unsheltered Homeless People in Families,18
1/1/12,NV,NV-500,Unsheltered Homeless Veterans,518
1/1/12,NV,NV-501,Chronically Homeless,215
1/1/12,NV,NV-501,Chronically Homeless Individuals,111
1/1/12,NV,NV-501,Chronically Homeless People in Families,104
1/1/12,NV,NV-501,Homeless Individuals,749
1/1/12,NV,NV-501,Homeless People in Families,120
1/1/12,NV,NV-501,Homeless Veterans,112
1/1/12,NV,NV-501,Sheltered Chronically Homeless,208
1/1/12,NV,NV-501,Sheltered Chronically Homeless Individuals,104
1/1/12,NV,NV-501,Sheltered Chronically Homeless People in Families,104
1/1/12,NV,NV-501,Sheltered Homeless,705
1/1/12,NV,NV-501,Sheltered Homeless Individuals,585
1/1/12,NV,NV-501,Sheltered Homeless People in Families,120
1/1/12,NV,NV-501,Sheltered Homeless Veterans,92
1/1/12,NV,NV-501,Total Homeless,869
1/1/12,NV,NV-501,Unsheltered Chronically Homeless,7
1/1/12,NV,NV-501,Unsheltered Chronically Homeless Individuals,7
1/1/12,NV,NV-501,Unsheltered Chronically Homeless People in Families,0
1/1/12,NV,NV-501,Unsheltered Homeless,164
1/1/12,NV,NV-501,Unsheltered Homeless Individuals,164
1/1/12,NV,NV-501,Unsheltered Homeless People in Families,0
1/1/12,NV,NV-501,Unsheltered Homeless Veterans,20
1/1/12,NV,NV-502,Chronically Homeless,61
1/1/12,NV,NV-502,Chronically Homeless Individuals,58
1/1/12,NV,NV-502,Chronically Homeless People in Families,3
1/1/12,NV,NV-502,Homeless Individuals,163
1/1/12,NV,NV-502,Homeless People in Families,142
1/1/12,NV,NV-502,Homeless Veterans,4
1/1/12,NV,NV-502,Sheltered Chronically Homeless,17
1/1/12,NV,NV-502,Sheltered Chronically Homeless Individuals,15
1/1/12,NV,NV-502,Sheltered Chronically Homeless People in Families,2
1/1/12,NV,NV-502,Sheltered Homeless,183
1/1/12,NV,NV-502,Sheltered Homeless Individuals,56
1/1/12,NV,NV-502,Sheltered Homeless People in Families,127
1/1/12,NV,NV-502,Sheltered Homeless Veterans,4
1/1/12,NV,NV-502,Total Homeless,305
1/1/12,NV,NV-502,Unsheltered Chronically Homeless,44
1/1/12,NV,NV-502,Unsheltered Chronically Homeless Individuals,43
1/1/12,NV,NV-502,Unsheltered Chronically Homeless People in Families,1
1/1/12,NV,NV-502,Unsheltered Homeless,122
1/1/12,NV,NV-502,Unsheltered Homeless Individuals,107
1/1/12,NV,NV-502,Unsheltered Homeless People in Families,15
1/1/12,NV,NV-502,Unsheltered Homeless Veterans,0
1/1/12,NY,NY-500,Chronically Homeless,89
1/1/12,NY,NY-500,Chronically Homeless Individuals,77
1/1/12,NY,NY-500,Chronically Homeless People in Families,12
1/1/12,NY,NY-500,Homeless Individuals,377
1/1/12,NY,NY-500,Homeless People in Families,322
1/1/12,NY,NY-500,Homeless Veterans,53
1/1/12,NY,NY-500,Sheltered Chronically Homeless,89
1/1/12,NY,NY-500,Sheltered Chronically Homeless Individuals,77
1/1/12,NY,NY-500,Sheltered Chronically Homeless People in Families,12
1/1/12,NY,NY-500,Sheltered Homeless,699
1/1/12,NY,NY-500,Sheltered Homeless Individuals,377
1/1/12,NY,NY-500,Sheltered Homeless People in Families,322
1/1/12,NY,NY-500,Sheltered Homeless Veterans,53
1/1/12,NY,NY-500,Total Homeless,699
1/1/12,NY,NY-500,Unsheltered Chronically Homeless,0
